product-id,highlight
P443842,Good for: Dullness/Uneven Texture
P443842,Community Favorite
P443842,Clean at Sephora
P443842,allure 2021 Best of Beauty Award Winner
P443842,Good for: Anti-Aging
P443842,Retinol
P427418,Vegan
P427418,Good for: Dullness/Uneven Texture
P427418,Retinol
P427418,Good for: Anti-Aging
P427418,Without Parabens
P427418,Without Sulfates SLS & SLES
P297524,Vegan
P297524,Good for: Pores
P297524,Clean at Sephora
P297524,"Best for Oily, Combo, Normal Skin"
P461537,Clean at Sephora
P461537,Hydrating
P461537,Hyaluronic Acid
P461537,Good for: Dryness
P461537,"Best for Dry, Combo, Normal Skin"
P427411,Vegan
P427411,Community Favorite
P427411,Oil Free
P427411,Alcohol Free
P427411,Gluten Free
P427412,Vegan
P427412,Without Silicones
P427412,Alcohol Free
P427412,Gluten Free
P395615,Vegan
P395615,Good for: Dullness/Uneven Texture
P395615,Clean + Planet Positive
P395615,Good for: Pores
P395615,Good for: Acne/Blemishes
P395615,"Best for Oily, Combo, Normal Skin"
P126301,Vegan
P126301,Community Favorite
P126301,Fragrance Free
P126301,allure 2021: Clean Beauty Winner
P126301,"Best for Dry, Combo, Normal Skin"
P126301,Without Sulfates SLS & SLES
P426340,Good for: Dullness/Uneven Texture
P426340,Good for: Pores
P426340,Clean at Sephora
P439061,Vegan
P439061,Good for: Dullness/Uneven Texture
P439061,AHA/Glycolic Acid
P439061,Without Parabens
P439061,Good for: Dark spots
P439061,Cruelty-Free
P469503,Good for: Dullness/Uneven Texture
P469503,Good for: Pores
P469503,Fragrance Free
P469503,Salicylic Acid
P469503,Good for: Acne/Blemishes
P469503,"Best for Oily, Combo, Normal Skin"
P434548,Good for: Dullness/Uneven Texture
P434548,Clean + Planet Positive
P434548,Good for: Dark Circles
P434548,AHA/Glycolic Acid
P434548,Cruelty-Free
P447791,Good for: Dullness/Uneven Texture
P447791,Good for: Loss of firmness
P447791,Clean + Planet Positive
P447791,Good for: Dark Circles
P447791,Hydrating
P447791,Retinol
P393718,Good for: Anti-Aging
P393718,Good for: Pores
P393718,Good for: Dullness/Uneven Texture
P393718,Retinol
P393718,Vegan
P393718,Cruelty-Free
P443840,Community Favorite
P443840,Clean at Sephora
P443840,Good for: Anti-Aging
P443840,Good for: Dryness
P443840,Cruelty-Free
P270594,Hyaluronic Acid
P270594,Plumping
P270594,Vitamin C
P270594,Hydrating
P270594,Without Parabens
P270594,Gluten Free
P443845,allure 2022 Best of Beauty Award Winner
P443845,Hyaluronic Acid
P443845,Plumping
P443845,Good for: Dark Circles
P443845,Clean at Sephora
P443845,Hydrating
P416563,Vegan
P416563,Good for: Loss of firmness
P416563,Vitamin C
P416563,Clean + Planet Positive
P416563,Good for: Dryness
P416563,"Best for Dry, Combo, Normal Skin"
P94421,Vegan
P94421,Good for: Dullness/Uneven Texture
P94421,Clean + Planet Positive
P94421,Oil Free
P94421,Good for: Dark spots
P448530,Vegan
P448530,Community Favorite
P448530,Salicylic Acid
P448530,Without Silicones
P448530,Alcohol Free
P428819,Hyaluronic Acid
P428819,Clean + Planet Positive
P428819,Hydrating
P428819,Good for: Dryness
P428819,Oil Free
P428819,"Best for Oily, Combo, Normal Skin"
P462699,Hyaluronic Acid
P462699,Good for: Dullness/Uneven Texture
P462699,Good for: Loss of firmness
P462699,Community Favorite
P462699,Plumping
P462699,Clean + Planet Positive
P462699,Hydrating
P417936,Hyaluronic Acid
P417936,Community Favorite
P417936,Clean at Sephora
P417936,Hydrating
P417936,Without Parabens
P417936,"Best for Dry, Combo, Normal Skin"
P443833,Good for: Pores
P443833,Clean at Sephora
P443833,Good for: Acne/Blemishes
P443833,Salicylic Acid
P443833,Cruelty-Free
P248404,Good for: Redness
P248404,Community Favorite
P248404,Good for: Dark Circles
P248404,Clean at Sephora
P248404,Fragrance Free
P248404,Cruelty-Free
P479327,Refill Available
P479327,Hyaluronic Acid
P479327,Good for: Dullness/Uneven Texture
P479327,Best for Dry Skin
P479327,Clean + Planet Positive
P479327,Hydrating
P456392,Hydrating
P456392,Without Phthalates
P456392,UV Protection
P456392,Without Parabens
P456392,"Best for Dry, Combo, Normal Skin"
P456392,SPF
P446938,Vegan
P446938,Refill Available
P446938,Good for: Loss of firmness
P446938,Clean at Sephora
P446938,Good for: Anti-Aging
P446938,Good for: Dryness
P446930,Hydrating
P446930,Best for Dry Skin
P446930,Hypoallergenic
P446930,Fragrance Free
P446930,Without Mineral Oil
P392235,Clean at Sephora
P392235,Good for: Dryness
P392235,Without Silicones
P12045,Good for: Redness
P12045,Best for Dry Skin
P12045,Clean + Planet Positive
P12045,Hydrating
P12045,Good for: Dryness
P470259,Vegan
P470259,Good for: Dullness/Uneven Texture
P470259,Hydrating
P470259,Good for: Acne/Blemishes
P470259,Good for: Dark spots
P470259,Niacinamide
P467038,Vegan
P467038,Good for: Loss of firmness
P467038,Good for: Dark Circles
P467038,Clean at Sephora
P467038,Good for: Anti-Aging
P467038,Retinol
P402944,Good for: Anti-Aging
P402944,All Hair Types
P218700,Cruelty-Free
P218700,Clean at Sephora
P411388,Hyaluronic Acid
P411388,Good for: Pores
P411388,Plumping
P411388,Clean + Planet Positive
P411388,Hydrating
P411388,"Best for Oily, Combo, Normal Skin"
P421243,Clean at Sephora
P421243,Good for: Dryness
P427410,Vegan
P427410,Good for: Dullness/Uneven Texture
P427410,Vitamin C
P427410,Good for: Anti-Aging
P427410,Without Parabens
P427410,Without Sulfates SLS & SLES
P463036,Best for Dry Skin
P463036,Clean + Planet Positive
P463036,Good for: Anti-Aging
P463036,Good for: Dryness
P463036,Without Parabens
P463036,Without Silicones
P439058,Good for: Dullness/Uneven Texture
P439058,Vitamin C
P439058,Clean at Sephora
P439058,Good for: Anti-Aging
P439058,Good for: Dark spots
P402718,Good for: Anti-Aging
P402718,Good for: Dullness/Uneven Texture
P402718,"Best for Dry, Combo, Normal Skin"
P402718,Lactic Acid
P402718,Retinol
P455364,allure 2020 Best of Beauty Award Winner
P455364,Best for Normal Skin
P455364,Good for: Redness
P455364,Community Favorite
P455364,Clean at Sephora
P455364,Good for: Dryness
P278317,Good for: Dullness/Uneven Texture
P278317,Community Favorite
P278317,Clean at Sephora
P278317,Fragrance Free
P278317,"Best for Oily, Combo, Normal Skin"
P278317,Cruelty-Free
P438619,Vegan
P438619,Good for: Dullness/Uneven Texture
P438619,Hyaluronic Acid
P438619,Community Favorite
P438619,Clean + Planet Positive
P438619,"Best for Dry, Combo, Normal Skin"
P400207,Good for: Acne/Blemishes
P400207,"Best for Oily, Combo, Normal Skin"
P400207,Salicylic Acid
P400207,Cruelty-Free
P400207,Vegan
P400207,Clean + Planet Positive
P12336,Hyaluronic Acid
P12336,Clean at Sephora
P12336,Good for: Dryness
P12336,Without Parabens
P12336,"Best for Dry, Combo, Normal Skin"
P302103,Hyaluronic Acid
P302103,Clean at Sephora
P302103,Hydrating
P302103,Good for: Dryness
P12573,Without Parabens
P12573,Alcohol Free
P12573,SPF
P12573,Gluten Free
P410400,"Best for Oily, Combo, Normal Skin"
P410400,Good for: Acne/Blemishes
P410400,Good for: Pores
P410400,Salicylic Acid
P410400,Cruelty-Free
P410400,Community Favorite
P441644,Refill Available
P441644,Community Favorite
P441644,Good for: Pores
P441644,Clean + Planet Positive
P441644,"Best for Oily, Combo, Normal Skin"
P441644,Without Sulfates SLS & SLES
P444718,Vegan
P444718,Hydrating
P444718,Good for: Dryness
P444718,Without Parabens
P444718,Without Sulfates SLS & SLES
P444718,Gluten Free
P377533,Good for: Dullness/Uneven Texture
P377533,Lactic Acid
P377533,Good for: Pores
P377533,Clean at Sephora
P377533,Good for: Anti-Aging
P377533,AHA/Glycolic Acid
P442744,Good for: Dryness
P442744,Hyaluronic Acid
P442744,Good for: Dullness/Uneven Texture
P442744,Clean + Planet Positive
P442744,Community Favorite
P500307,Vegan
P500307,Hydrating
P500307,Clean at Sephora
P500307,Good for: Dryness
P500307,Black Owned at Sephora
P500307,Cruelty-Free
P415747,Natural Finish
P415747,Warm &Spicy Scent
P415747,Good for: Dryness
P415747,Without Parabens
P415747,Cruelty-Free
P482535,Good for: Dullness/Uneven Texture
P482535,Hyaluronic Acid
P482535,Good for: Pores
P482535,Clean + Planet Positive
P482535,AHA/Glycolic Acid
P482535,Good for: Acne/Blemishes
P482535,Salicylic Acid
P442594,Vegan
P442594,Vitamin C
P442594,Clean + Planet Positive
P442594,Good for: Dryness
P442594,"Best for Dry, Combo, Normal Skin"
P415771,Good for: Dullness/Uneven Texture
P415771,Lactic Acid
P415771,Community Favorite
P415771,Clean at Sephora
P415771,Hydrating
P415771,Good for: Anti-Aging
P426836,Vegan
P426836,Community Favorite
P426836,Clean at Sephora
P426836,Fragrance Free
P426836,Without Sulfates SLS & SLES
P426836,Cruelty-Free
P470529,Good for: Redness
P470529,Good for: Dullness/Uneven Texture
P470529,Clean + Planet Positive
P470529,Hydrating
P470529,Fragrance Free
P470529,Cruelty-Free
P422002,Good for: Dullness/Uneven Texture
P422002,Good for: Pores
P422002,Clean at Sephora
P422002,Good for: Acne/Blemishes
P422002,Without Parabens
P375849,allure 2020 Best of Beauty Award Winner
P375849,Lactic Acid
P375849,Good for: Pores
P375849,AHA/Glycolic Acid
P375849,Good for: Dryness
P375849,Salicylic Acid
P433520,Refill Available
P433520,Hyaluronic Acid
P433520,Best for Dry Skin
P433520,Good for: Anti-Aging
P433520,Good for: Dryness
P433520,Without Sulfates SLS & SLES
P467762,Vegan
P467762,Community Favorite
P467762,Clean + Planet Positive
P443352,Vegan
P443352,Good for: Dullness/Uneven Texture
P443352,allure 2019 Best of Beauty Award Winner
P443352,Salicylic Acid
P443352,"Best for Oily, Combo, Normal Skin"
P479732,Vegan
P479732,Fragrance Free
P479732,Good for: Acne/Blemishes
P479732,Salicylic Acid
P479732,Without Parabens
P479732,Cruelty-Free
P430146,Good for: Dullness/Uneven Texture
P430146,Community Favorite
P430146,Clean + Planet Positive
P430146,Good for: Anti-Aging
P430146,Good for: Dryness
P442830,Vegan
P442830,Best for Dry Skin
P442830,Good for: Dryness
P442830,Without Silicones
P442830,Alcohol Free
P442830,Without Sulfates SLS & SLES
P404795,Vegan
P404795,Hydrating
P404795,Clean at Sephora
P404795,Gluten Free
P475543,Vegan
P475543,Good for: Dullness/Uneven Texture
P475543,Good for: Loss of firmness
P475543,Vitamin C
P475543,Clean + Planet Positive
P475543,Good for: Dark spots
P442754,Vegan
P442754,Good for: Anti-Aging
P442754,Without Parabens
P442754,Without Sulfates SLS & SLES
P442754,Good for: Dark spots
P442754,Gluten Free
P442758,Vegan
P442758,Good for: Dullness/Uneven Texture
P442758,Good for: Acne/Blemishes
P442758,Without Parabens
P442758,Without Sulfates SLS & SLES
P442758,Gluten Free
P430337,Vitamin C
P430337,Good for: Dryness
P430337,Good for: Dullness/Uneven Texture
P430337,Good for: Loss of firmness
P430337,Without Parabens
P430337,Vegan
P468658,Good for: Dullness/Uneven Texture
P468658,Good for: Pores
P468658,AHA/Glycolic Acid
P468658,"Best for Oily, Combo, Normal Skin"
P468658,Without Parabens
P432829,Vegan
P432829,Good for: Redness
P432829,Best for Dry Skin
P432829,Clean + Planet Positive
P432829,Hydrating
P432829,Fragrance Free
P474377,Good for: Redness
