product-id,highlight
P458268,Matte Finish
P458268,Long-wearing
P458268,Without Parabens
P441101,Hyaluronic Acid
P441101,Community Favorite
P441101,Plumping
P441101,Hydrating
P441101,Clean at Sephora
P441101,Good for: Dryness
P290636,allure 2020 Best of Beauty Award Winner
P290636,Pressed Powder Formula
P290636,Matte Finish
P278610,Vegan
P278610,Pressed Powder Formula
P278610,Natural Finish
P278610,Community Favorite
P278610,Long-wearing
P278610,Without Parabens
P418218,Community Favorite
P418218,Good for: Pores
P418218,Hydrating
P418218,Clean at Sephora
P418218,Oil Free
P418218,"Best for Oily, Combo, Normal Skin"
P377710,High Shine Finish
P377710,Hydrating
P377710,Without Phthalates
P377710,Without Parabens
P479343,Light Coverage
P479343,Vegan
P479343,Stick Formula
P479343,Natural Finish
P479343,Long-wearing
P479343,Without Parabens
P403812,Pressed Powder Formula
P403812,Community Favorite
P403812,Long-wearing
P403812,Without Phthalates
P403812,Without Parabens
P455936,Vegan
P455936,Plumping
P455936,Clean at Sephora
P455936,Hydrating
P455936,Good for: Dryness
P455936,"Best for Oily, Combo, Normal Skin"
P455936,Cruelty-Free
P433530,Vegan
P433530,Community Favorite
P433530,Matte Finish
P433530,Long-wearing
P433530,Without Parabens
P427420,Vegan
P427420,Community Favorite
P427420,Oil Free
P427420,Without Silicones
P427420,Alcohol Free
P407636,Liquid Formula
P407636,Matte Finish
P407636,Long-wearing
P407636,Full Coverage
P58930227,Radiant Finish
P58930227,Community Favorite
P58930227,Shimmer Finish
P58930227,Matte Finish
P58930227,Full Coverage
P432668,Good for: Dullness/Uneven Texture
P432668,Good for: Loss of firmness
P432668,Clean at Sephora
P432668,Good for: Anti-Aging
P432668,Good for: Dark spots
P432668,Cruelty-Free
P311138,Vegan
P311138,Liquid Formula
P311138,Matte Finish
P311138,Long-wearing
P311138,Full Coverage
P311138,Cruelty-Free
P433402,Vegan
P433402,Loose Powder Formula
P433402,Community Favorite
P433402,Matte Finish
P433402,Medium Coverage
P409317,Liquid Formula
P409317,Matte Finish
P409317,Long-wearing
P409317,Waterproof
P409317,Without Parabens
P409317,Cruelty-Free
P441813,Vegan
P441813,Radiant Finish
P441813,allure 2019 Best of Beauty Award Winner
P441813,Community Favorite
P441813,Hydrating
P441813,Clean at Sephora
P264900,Community Favorite
