product-id,ingredient,order
P427421,Cetearyl Olivate,4
P427421,Sorbitan Olivate,5
P427421,Sclerocarya Birrea Seed Oil,6
P427421,Bacillus/ Folic Acid Ferment Filtrate Extract,7
P427421,Nymphaea Alba Root Extract,8
P427421,sh-Oligopeptide-1,9
P427421,sh-Oligopeptide-2,10
P427421,sh-Polypeptide-1,11
P427421,sh-Polypeptide-9,12
P427421,sh-Polypeptide-11,13
P427421,Copper Palmitoyl Heptapeptide-14,14
P427421,Heptapeptide-15 Palmitate,15
P427421,Palmitoyl Tetrapeptide-7,16
P427421,Palmitoyl Tripeptide-1,17
P427421,Alanine,18
P427421,Arginine,19
P427421,Glycine,20
P427421,Histidine,21
P427421,Isoleucine,22
P427421,Phenylalanine,23
P427421,Proline,24
P427421,Serine,25
P427421,Threonine,26
P427421,Valine,27
P427421,Acetyl Glutamine,28
P427421,Coconut Alkanes,29
P427421,Coco-Caprylate/Caprate,30
P427421,Sodium Hyaluronate,31
P427421,Aspartic Acid,32
P427421,Linoleic Acid,33
P427421,Linolenic Acid,34
P427421,Lecithin,35
P427421,Butylene Glycol,36
P427421,Polyvinyl Alcohol,37
P427421,Sodium Lactate,38
P427421,Sodium PCA,39
P427421,PCA,40
P427421,Sorbitan Isostearate,41
P427421,Carbomer,42
P427421,Polysorbate 20,43
P427421,Polysorbate 60,44
P427421,Lactic Acid/Glycolic Acid Copolymer,45
P427421,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,46
P427421,Xanthan Gum,47
P427421,Isomalt,48
P427421,"1,2-Hexanediol",49
P427421,Caprylyl Glycol,50
P427421,Chlorphenesin,51
P427421,Phenoxyethanol,52
P427421,Tocopherol,53
P427421,Sodium Benzoate,54
P427421,Phenylpropanol,55
P427421,Glyceryl Caprylate,56
P427421,Symphytum Officinale Callus Culture Extract,57
P411387,Water/Aqua/Eau,0
P411387,Cocamidopropyl Hydroxysultaine,1
P411387,Sodium Cocoyl Glutamate,2
P411387,Sorbeth-230 Tetraoleate,3
P411387,Polysorbate 20,4
P411387,Sodium Chloride,5
P411387,Aloe Barbadensis Leaf (Aloe Vera) Juice Powder,6
P411387,Brassica Oleracea Acephala (Kale) Leaf Extract,7
P411387,Spinacia Oleracea (Spinach) Leaf Extract,8
P411387,Camellia Sinensis (Green Tea) Leaf Extract,9
P411387,Medicago Sativa (Alfalfa) Extract,10
P411387,Chamomilla Recutita (Matricaria) Flower Extract,11
P411387,Tetrahexyldecyl Ascorbate (Vitamin C),12
P411387,Glycerin,13
P411387,Panthenol (Vitamin B5),14
P411387,Tocopheryl Acetate (Vitamin E),15
P411387,Decyl Glucoside,16
P411387,Sorbitan Laurate,17
P411387,Tetrasodium Glutamate Diacetate,18
P411387,Gluconolactone,19
P411387,Ethylhexylglycerin,20
P411387,Maltodextrin,21
P411387,Citric Acid,22
P411387,Phenoxyethanol,23
P411387,Potassium Sorbate,24
P411387,Sodium Benzoate,25
P411387,Gardenia Jasminoides (Jasmine) Fruit Extract,26
P411387,Fragrance/Parfum,27
P411387,Sodium Hydroxide,28
P411387,Sodium Glycolate,29
P411387,Sodium Formate,30
P411387,Hexyl Cinnamal,31
P411387,Linalool,32
P411387,Limonene,33
P411387,Chlorophyllin-Copper Complex (CI 75810),34
P417238,Cetyl Ethylhexanoate,0
P417238,Caprylic/Capric Triglyceride,1
P417238,PEG-20 Glyceryl Triisostearate,2
P417238,PEG-10 Isostearate,3
P417238,Polyethylene,4
P417238,Echinacea Purpurea Root Extract,5
P417238,Carica Papaya (Papaya) Fruit Extract,6
P417238,Moringa Pterygosperma Seed Extract,7
P417238,Moringa Oleifera Seed Oil,8
P417238,Zingiber Officinale (Ginger) Root Oil,9
P417238,Helianthus Annuus (Sunflower) Seed Oil,10
P417238,Sorbitan Sesquioleate,11
P417238,Citrus Aurantifolia (Lime) Oil,12
P417238,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,13
P417238,Glycerin,14
P417238,Melia Azadirachta Leaf Extract,15
P417238,Melia Azadirachta Flower Extract,16
P417238,Corallina Officinalis Extract,17
P417238,Citrus Aurantium Dulcis (Orange) Peel Oil,18
P417238,Amber Powder,19
P417238,Cananga Odorata Flower Oil,20
P417238,Coccinia Indica Fruit Extract,21
P417238,Solanum Melongena (Eggplant) Fruit Extract,22
P417238,Curcuma Longa (Turmeric) Root Extract,23
P417238,Ocimum Sanctum Leaf Extract,24
P417238,Water,25
P417238,Butylene Glycol,26
P417238,Disodium Phosphate,27
P417238,Citric Acid,28
P417238,Phenoxyethanol,29
P417238,Citral,30
P417238,Limonene,31
P417238,Linalool,32
P466123,Aqua/Water/Eau,0
P466123,Propanediol,1
P466123,Glycereth-26,2
P466123,Glycerin,3
P466123,Niacinamide,4
P466123,"2,3-Butanediol",5
P466123,"1,2-Hexanediol",6
P466123,Cetyl Ethylhexanoate,7
P466123,Citrullus Lanatus Fruit Extract,8
P466123,Sodium Hyaluronate,9
P466123,Eclipta Prostrata Extract,10
P466123,Melia Azadirachta Leaf Extract,11
P466123,Polyglyceryl-3 Methylglucose Distearate,12
P466123,Tromethamine,13
P466123,Glyceryl Stearate,14
P466123,Carbomer,15
P466123,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,16
P466123,Ethylhexylglycerin,17
P466123,Xanthan Gum,18
P466123,Polyquaternium-51,19
P466123,Moringa Oleifera Seed Oil,20
P466123,Fragrance/Parfum,21
P466123,Benzyl Benzoate,22
P441101,Aqua/Water/Eau,0
P441101,Saccharomyces/Rice Ferment Filtrate,1
P441101,Glycerin,2
P441101,Propanediol,3
P441101,Dimethicone,4
P441101,Squalane,5
P441101,Diisostearyl Malate,6
P441101,Behenyl Alcohol,7
P441101,Myristyl Myristate,8
P441101,Dipentaerythrityl Hexahydroxystearate,9
P441101,Bis-Diglyceryl Polyacyladipate-2,10
P441101,Tridecyl Trimellitate,11
P441101,Inositol,12
P441101,Sorbitan Tristearate,13
P441101,Beheneth-20,14
P441101,Camellia Sinensis Leaf Extract,15
P441101,Cladosiphon Okamuranus Extract,16
P441101,Chondrus Crispus Extract,17
P441101,Betaphycus Gelatinum Extract,18
P441101,Oryza Sativa (Rice) Bran Extract,19
P441101,Panax Ginseng Root Extract,20
P441101,Origanum Majorana Leaf Extract,21
P441101,Thymus Serpyllum Extract,22
P441101,Malva Sylvestris (Mallow) Flower Extract,23
P441101,Sodium Hyaluronate,24
P441101,Gold,25
P441101,Sericin,26
P441101,Phytosteryl Macadamiate,27
P441101,Tocopherol,28
P441101,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,29
P441101,Sorbitan Isostearate,30
P441101,Polysorbate 60,31
P441101,Butylene Glycol,32
P441101,Dimethicone/Vinyl Dimethicone Crosspolymer,33
P441101,Sodium Benzoate,34
P441101,Gluconolactone,35
P441101,Ethylhexylglycerin,36
P441101,Parfum/Fragrance,37
P441101,Alcohol,38
P441101,Phenoxyethanol,39
P441101,Citral,40
P441101,Limonene,41
P441101,Linalool,42
P441101,Mica,43
P441101,Tin Oxide,44
P441101,Titanium Dioxide (Ci 77891),45
P441101,Violet 2 (Ci 60725),46
P418218,Water,0
P418218,Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*,1
P418218,Dimethicone,2
P418218,Propanediol,3
P418218,Glycerin,4
P418218,Diglycerin,5
P418218,Diphenylsiloxy Phenyl Trimethicone,6
P418218,Gold,7
P418218,Belamcanda Chinensis Root Extract,8
P418218,Rosa Multiflora Fruit Extract,9
P418218,Houttuynia Cordata Extract,10
P418218,Sophora Angustifolia Root Extract,11
P418218,Sodium Hyaluronate,12
P418218,Lecithin,13
P418218,Pistacia Lentiscus (Mastic) Gum,14
P418218,Sodium Chloride,15
P418218,Sodium Citrate,16
P418218,Mica,17
P418218,Peg-9 Polydimethylsiloxyethyl Dimethicone,18
P418218,Dimethicone/Peg-10/15 Crosspolymer,19
P418218,Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer,20
P418218,Disodium Edta,21
P418218,Tin Oxide,22
P418218,Titanium Dioxide,23
P418218,Butylene Glycol,24
P418218,Ethylhexylglycerin,25
P418218,Parfum/Fragrance,26
P418218,Alcohol,27
P418218,Phenoxyethanol. *Hadasei-3,28
P455936,Phytosteryl/Isostearyl/Cetyl/Stearyl Behenyl Dimer Dilinoleate,0
P455936,Diisostearyl Malate,1
P455936,Hydrogenated Polyisobutene,2
P455936,Polybutene,3
P455936,Hydrogenated Poly (C6-14 Olefin),4
P455936,Butyrospermum Parkii (Shea) Butter,5
P455936,Microcrystalline Wax/Cera Microcristallina/Cire Microcrystalline,6
P455936,Octyldodecanol,7
P455936,Synthetic Wax,8
P455936,Disteardimonium Hectorite,9
P455936,Polyglyceryl-2 Diisostearate,10
P455936,Mica,11
P455936,Vanillin,12
P455936,Astrocaryum Murumuru Seed Butter,13
P455936,Propylene Carbonate,14
P455936,Tocopherol,15
